Varies per block?       ,    2,Unit    ,k$/unit,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   62
Stag,Seq.,Blck,EMED Corumba,Campo Grande,Tres Lagoas,Paulinia (Replan),Guararema,Capuava / RGE-SP,Cubatao (RPBC),Terminal GNL Santos (lado GN),UTGCA Caraguatatuba,Taubate,Volta Redonda,Japeri,REDUC / Duque de Caxias,Terminal GNL B. Guanabara (lado GN),UPGN Itaborai (Boaventura),TECAB Cabiunas,Porto do Acu (lado GN),Vitoria / Serra,UTGC Cacimbas,Cuiaba,Belo Horizonte / Betim,Linepack GASBOL (T. LagoasPaulinia),Linepack corredor RJSP (JaperiGuararema),Rio Grande (Bolivia)  cabeceira do GASBOL,Campo Duran (Argentina)  exportacao p/ Bolivia,Tanque FSRU Baia de Guanabara,Tanque FSRU Acu,Tanque FSRU Santos,Mercado internacional de GNL (bacia Atlantica),Juiz de Fora,Sepetiba / Itaguai,Catu,Camacari,Terminal GNL Bahia (lado GN),Carmopolis / Atalaia,Terminal GNL Sergipe (lado GN),Pilar,Cabo / Suape,Polo Guamare,Fortaleza (Mucuripe),Pecem (lado GN),Linepack GASENE (CacimbasCatu),Linepack malha NE (CarmopolisPilar),Tanque FSRU Bahia,Tanque FSRU Pecem,Tanque FSRU Sergipe,Tanque FSRU Suape,Santa Rita / Joao Pessoa,Polo Urucu,Coari,Manaus,Complexo Parnaiba,Barcarena (lado GN),Tanque FSRU Barcarena,Araucaria,S. Francisco do Sul (lado GN),Biguacu / Florianopolis,Canoas,Uruguaiana,Paso de los Libres (Argentina)  TSB,Tanque FSRU Babitonga (TGS),Garuva
   4,   1,   2, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.46285    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.45591    , 0.23527    , 0.40000    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25684    , 0.24451    , 0.24860    , 0.24242    , 0.25298    , 0.24365    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    ,  0.0000    ,  0.0000    ,  0.0000    , 0.24322      
   4,   1,   3, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.46285    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.45591    , 0.23527    , 0.40000    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25684    , 0.24451    , 0.24860    , 0.24242    , 0.25298    , 0.24365    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    ,  0.0000    ,  0.0000    ,  0.0000    , 0.24322      
   5,   1,   1, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.40000    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25684    , 0.24451    , 0.24860    , 0.24242    , 0.25298    , 0.24365    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.45573    , 0.44890    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    ,  0.0000    ,  0.0000    ,  0.0000    , 0.24322      
   5,   1,   2, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25684    , 0.24451    , 0.24860    , 0.24242    , 0.25298    , 0.24365    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    ,  0.0000    ,  0.0000    ,  0.0000    , 0.24322      
   5,   1,   3, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25684    , 0.24451    , 0.24860    , 0.24242    , 0.25298    , 0.24365    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    ,  0.0000    ,  0.0000    ,  0.0000    , 0.24322      
   6,   1,   1, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25684    , 0.24451    , 0.24860    , 0.24242    , 0.25298    , 0.24365    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   6,   1,   2, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25684    , 0.24451    , 0.24860    , 0.24242    , 0.25298    , 0.24365    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   6,   1,   3, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25684    , 0.24451    , 0.24860    , 0.24242    , 0.25298    , 0.24365    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   7,   1,   1, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25784    , 0.24451    , 0.24860    , 0.24242    , 0.42699    , 0.43000    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   7,   1,   2, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25784    , 0.24451    , 0.24860    , 0.24242    , 0.42699    , 0.43000    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   7,   1,   3, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25784    , 0.24451    , 0.24860    , 0.24242    , 0.25397    , 0.43000    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   8,   1,   1, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.43000    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25784    , 0.24451    , 0.24860    , 0.24242    , 0.42699    , 0.43000    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   8,   1,   2, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.43000    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25684    , 0.24451    , 0.24860    , 0.24242    , 0.25298    , 0.43000    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   8,   1,   3, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.43000    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25684    , 0.24451    , 0.24860    , 0.24242    , 0.25298    , 0.43000    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   9,   1,   1, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25784    , 0.24451    , 0.24860    , 0.24242    , 0.42699    , 0.24365    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   9,   1,   2, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25784    , 0.24451    , 0.24860    , 0.24242    , 0.25397    , 0.43000    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    , 0.26106    , 0.26000    ,  0.0000    , 0.24322      
   9,   1,   3, 0.29338    , 0.29547    , 0.29677    , 0.23979    , 0.23875    , 0.23959    , 0.24033    , 0.23885    , 0.24000    , 0.24094    , 0.23687    , 0.23667    , 0.23584    , 0.23544    , 0.23500    , 0.24000    , 0.43655    , 0.24168    , 0.24253    , 0.29597    , 0.23979    , 0.23855    , 0.23771    , 0.29000    ,  0.0000    , 0.23073    , 0.43000    , 0.23527    , 0.38114    , 0.23781    ,  0.0000    , 0.24651    , 0.24691    , 0.24611    , 0.24776    , 0.24736    , 0.24945    , 0.25060    , 0.25522    , 0.25734    , 0.25784    , 0.24451    , 0.24860    , 0.24242    , 0.25397    , 0.43000    ,  0.0000    , 0.25291    , 0.20000    , 0.20120    , 0.20281    , 0.19000    , 0.43655    , 0.43000    , 0.24177    ,  0.0000    , 0.24466    , 0.24665    ,  0.0000    ,  0.0000    ,  0.0000    , 0.24322      
